year,locationabbr,locationdesc,class,topic,question,response,break_out,break_out_category,sample_size,data_value,data_value_unit,data_value_type,datasource,classid,topicid,locationid,breakoutid,breakoutcategoryid,questionid,responseid,display_order,data_value_footnote_symbol,data_value_footnote
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,53,17.5,%,Crude Prevalence,BRFSS,CLASS03,Topic17,99,BO1,CAT1,ADDEPEV2,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,53,82.5,%,Crude Prevalence,BRFSS,CLASS03,Topic17,99,BO1,CAT1,ADDEPEV2,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,53,9.5,%,Crude Prevalence,BRFSS,CLASS03,Topic18,99,BO1,CAT1,DIABETE3,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",Overall,Overall,52,0.9,%,Crude Prevalence,BRFSS,CLASS03,Topic18,99,BO1,CAT1,DIABETE3,RESP051,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",Overall,Overall,53,1.3,%,Crude Prevalence,BRFSS,CLASS03,Topic18,99,BO1,CAT1,DIABETE3,RESP052,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,Overall,Overall,53,87.9,%,Crude Prevalence,BRFSS,CLASS03,Topic18,99,BO1,CAT1,DIABETE3,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,Overall,Overall,53,2.4,%,Crude Prevalence,BRFSS,CLASS03,Topic35,99,BO1,CAT1,CHCKIDNY,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,No,Overall,Overall,53,97.6,%,Crude Prevalence,BRFSS,CLASS03,Topic35,99,BO1,CAT1,CHCKIDNY,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,Yes,Overall,Overall,53,6.5,%,Crude Prevalence,BRFSS,CLASS03,Topic40,99,BO1,CAT1,CHCOCNCR,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,No,Overall,Overall,53,93.5,%,Crude Prevalence,BRFSS,CLASS03,Topic40,99,BO1,CAT1,CHCOCNCR,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,Yes,Overall,Overall,53,5.7,%,Crude Prevalence,BRFSS,CLASS03,Topic53,99,BO1,CAT1,CHCSCNCR,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,No,Overall,Overall,53,94.3,%,Crude Prevalence,BRFSS,CLASS03,Topic53,99,BO1,CAT1,CHCSCNCR,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Vision,Ever told you have vision impairment?,Yes,Overall,Overall,53,18.6,%,Crude Prevalence,BRFSS,CLASS03,Topic62,99,BO1,CAT1,CHCVISON,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Vision,Ever told you have vision impairment?,No,Overall,Overall,53,81.2,%,Crude Prevalence,BRFSS,CLASS03,Topic62,99,BO1,CAT1,CHCVISON,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Vision,Ever told you have vision impairment?,Respondent is blind,Overall,Overall,12,0.2,%,Crude Prevalence,BRFSS,CLASS03,Topic62,99,BO1,CAT1,CHCVISON,RESP055,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Age,What is your age?,18-24 years,Overall,Overall,53,12.9,%,Crude Prevalence,BRFSS,CLASS05,Topic02,99,BO1,CAT1,AGE,RESP010,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Age,What is your age?,25-34 years,Overall,Overall,53,17.3,%,Crude Prevalence,BRFSS,CLASS05,Topic02,99,BO1,CAT1,AGE,RESP011,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Age,What is your age?,35-44 years,Overall,Overall,53,17,%,Crude Prevalence,BRFSS,CLASS05,Topic02,99,BO1,CAT1,AGE,RESP012,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Age,What is your age?,45-54 years,Overall,Overall,53,18.8,%,Crude Prevalence,BRFSS,CLASS05,Topic02,99,BO1,CAT1,AGE,RESP013,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Age,What is your age?,55-64 years,Overall,Overall,53,15.8,%,Crude Prevalence,BRFSS,CLASS05,Topic02,99,BO1,CAT1,AGE,RESP014,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Age,What is your age?,65+ years,Overall,Overall,53,18,%,Crude Prevalence,BRFSS,CLASS05,Topic02,99,BO1,CAT1,AGE,RESP015,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",Yes,Overall,Overall,53,23.6,%,Crude Prevalence,BRFSS,CLASS05,Topic19,99,BO1,CAT1,QLACTLM2,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,Overall,Overall,53,76.4,%,Crude Prevalence,BRFSS,CLASS05,Topic19,99,BO1,CAT1,QLACTLM2,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,Yes,Overall,Overall,53,7.9,%,Crude Prevalence,BRFSS,CLASS05,Topic19,99,BO1,CAT1,USEEQUIP,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,No,Overall,Overall,53,92.1,%,Crude Prevalence,BRFSS,CLASS05,Topic19,99,BO1,CAT1,USEEQUIP,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,Overall,Overall,53,13.5,%,Crude Prevalence,BRFSS,CLASS05,Topic21,99,BO1,CAT1,EDUCA,RESP021,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,Overall,Overall,53,30.1,%,Crude Prevalence,BRFSS,CLASS05,Topic21,99,BO1,CAT1,EDUCA,RESP022,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,Overall,Overall,53,30.2,%,Crude Prevalence,BRFSS,CLASS05,Topic21,99,BO1,CAT1,EDUCA,RESP023,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Education,What is the highest grade or year of school you completed?,College+,Overall,Overall,53,23.8,%,Crude Prevalence,BRFSS,CLASS05,Topic21,99,BO1,CAT1,EDUCA,RESP024,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Employment,What is your employment status?,Emplyd,Overall,Overall,53,47.5,%,Crude Prevalence,BRFSS,CLASS05,Topic22,99,BO1,CAT1,EMPLOY,RESP025,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Employment,What is your employment status?,Self emplyd,Overall,Overall,53,7.8,%,Crude Prevalence,BRFSS,CLASS05,Topic22,99,BO1,CAT1,EMPLOY,RESP026,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Employment,What is your employment status?,No work< yr,Overall,Overall,53,4.3,%,Crude Prevalence,BRFSS,CLASS05,Topic22,99,BO1,CAT1,EMPLOY,RESP027,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Employment,What is your employment status?,No work >yr,Overall,Overall,53,4.1,%,Crude Prevalence,BRFSS,CLASS05,Topic22,99,BO1,CAT1,EMPLOY,RESP028,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Employment,What is your employment status?,Homemkr,Overall,Overall,53,6.4,%,Crude Prevalence,BRFSS,CLASS05,Topic22,99,BO1,CAT1,EMPLOY,RESP029,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Employment,What is your employment status?,Student,Overall,Overall,53,5.4,%,Crude Prevalence,BRFSS,CLASS05,Topic22,99,BO1,CAT1,EMPLOY,RESP030,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Employment,What is your employment status?,Retired,Overall,Overall,53,16.5,%,Crude Prevalence,BRFSS,CLASS05,Topic22,99,BO1,CAT1,EMPLOY,RESP031,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Income,What is your annual household income?,"Less than $15,000",Overall,Overall,53,12.7,%,Crude Prevalence,BRFSS,CLASS05,Topic33,99,BO1,CAT1,INCOME,RESP016,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Income,What is your annual household income?,"$15,000 - 24,999",Overall,Overall,53,18.5,%,Crude Prevalence,BRFSS,CLASS05,Topic33,99,BO1,CAT1,INCOME,RESP017,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Income,What is your annual household income?,"$25,000 - 34,999",Overall,Overall,53,11.7,%,Crude Prevalence,BRFSS,CLASS05,Topic33,99,BO1,CAT1,INCOME,RESP018,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Income,What is your annual household income?,"$35,000 -  49,999",Overall,Overall,53,15,%,Crude Prevalence,BRFSS,CLASS05,Topic33,99,BO1,CAT1,INCOME,RESP019,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Income,What is your annual household income?,"$50,000+",Overall,Overall,53,41.1,%,Crude Prevalence,BRFSS,CLASS05,Topic33,99,BO1,CAT1,INCOME,RESP020,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Marital Status,What is your marital status?,Married,Overall,Overall,53,51.5,%,Crude Prevalence,BRFSS,CLASS05,Topic38,99,BO1,CAT1,MARITAL,RESP033,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Marital Status,What is your marital status?,Divorced,Overall,Overall,53,11.2,%,Crude Prevalence,BRFSS,CLASS05,Topic38,99,BO1,CAT1,MARITAL,RESP034,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Marital Status,What is your marital status?,Widowed,Overall,Overall,53,7.1,%,Crude Prevalence,BRFSS,CLASS05,Topic38,99,BO1,CAT1,MARITAL,RESP035,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Marital Status,What is your marital status?,Separated,Overall,Overall,53,2.1,%,Crude Prevalence,BRFSS,CLASS05,Topic38,99,BO1,CAT1,MARITAL,RESP036,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Marital Status,What is your marital status?,Never married,Overall,Overall,53,23.6,%,Crude Prevalence,BRFSS,CLASS05,Topic38,99,BO1,CAT1,MARITAL,RESP037,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Marital Status,What is your marital status?,Partnered,Overall,Overall,53,4.5,%,Crude Prevalence,BRFSS,CLASS05,Topic38,99,BO1,CAT1,MARITAL,RESP038,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,Overall,Overall,50,1,%,Crude Prevalence,BRFSS,CLASS05,Topic39,99,BO1,CAT1,_CHLDCNT,RESP090,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,Overall,Overall,53,1.9,%,Crude Prevalence,BRFSS,CLASS05,Topic39,99,BO1,CAT1,_CHLDCNT,RESP091,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,Overall,Overall,53,5.7,%,Crude Prevalence,BRFSS,CLASS05,Topic39,99,BO1,CAT1,_CHLDCNT,RESP092,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,Overall,Overall,53,13.5,%,Crude Prevalence,BRFSS,CLASS05,Topic39,99,BO1,CAT1,_CHLDCNT,RESP093,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,Overall,Overall,53,15.5,%,Crude Prevalence,BRFSS,CLASS05,Topic39,99,BO1,CAT1,_CHLDCNT,RESP094,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),None,Overall,Overall,53,62.1,%,Crude Prevalence,BRFSS,CLASS05,Topic39,99,BO1,CAT1,_CHLDCNT,RESP095,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Race,What is your race/ethnicity?,White,Overall,Overall,53,76.3,%,Crude Prevalence,BRFSS,CLASS05,Topic48,99,BO1,CAT1,RACE,RESP005,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Race,What is your race/ethnicity?,Black,Overall,Overall,47,7.2,%,Crude Prevalence,BRFSS,CLASS05,Topic48,99,BO1,CAT1,RACE,RESP006,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Race,What is your race/ethnicity?,Hispanic,Overall,Overall,53,6.9,%,Crude Prevalence,BRFSS,CLASS05,Topic48,99,BO1,CAT1,RACE,RESP007,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Race,What is your race/ethnicity?,MultiRacial,Overall,Overall,51,1.2,%,Crude Prevalence,BRFSS,CLASS05,Topic48,99,BO1,CAT1,RACE,RESP008,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Race,What is your race/ethnicity?,Other,Overall,Overall,53,3.7,%,Crude Prevalence,BRFSS,CLASS05,Topic48,99,BO1,CAT1,RACE,RESP009,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Sex,Gender of respondent,Male,Overall,Overall,53,48.7,%,Crude Prevalence,BRFSS,CLASS05,Topic51,99,BO1,CAT1,SEX,RESP001,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Sex,Gender of respondent,Female,Overall,Overall,53,51.3,%,Crude Prevalence,BRFSS,CLASS05,Topic51,99,BO1,CAT1,SEX,RESP002,,,
2011,US,"All States, DC and Territories (median) **",Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,53,82.1,%,Crude Prevalence,BRFSS,CLASS07,Topic29,99,BO1,CAT1,HLTHPLN1,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,53,17.9,%,Crude Prevalence,BRFSS,CLASS07,Topic29,99,BO1,CAT1,HLTHPLN1,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,53,78.7,%,Crude Prevalence,BRFSS,CLASS07,Topic59,99,BO1,CAT1,_HCVU651,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,53,21.3,%,Crude Prevalence,BRFSS,CLASS07,Topic59,99,BO1,CAT1,_HCVU651,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,53,82.8,%,Crude Prevalence,BRFSS,CLASS08,Topic24,99,BO1,CAT1,_RFHLTH,RESP061,,,
2011,US,"All States, DC and Territories (median) **",Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,53,17.2,%,Crude Prevalence,BRFSS,CLASS08,Topic24,99,BO1,CAT1,_RFHLTH,RESP062,,,
2011,US,"All States, DC and Territories (median) **",Health Status,Overall Health,How is your general health?,Excellent,Overall,Overall,53,18.6,%,Crude Prevalence,BRFSS,CLASS08,Topic41,99,BO1,CAT1,GENHLTH,RESP056,,,
2011,US,"All States, DC and Territories (median) **",Health Status,Overall Health,How is your general health?,Very good,Overall,Overall,53,32.5,%,Crude Prevalence,BRFSS,CLASS08,Topic41,99,BO1,CAT1,GENHLTH,RESP057,,,
2011,US,"All States, DC and Territories (median) **",Health Status,Overall Health,How is your general health?,Good,Overall,Overall,53,31.5,%,Crude Prevalence,BRFSS,CLASS08,Topic41,99,BO1,CAT1,GENHLTH,RESP058,,,
2011,US,"All States, DC and Territories (median) **",Health Status,Overall Health,How is your general health?,Fair,Overall,Overall,53,12.4,%,Crude Prevalence,BRFSS,CLASS08,Topic41,99,BO1,CAT1,GENHLTH,RESP059,,,
2011,US,"All States, DC and Territories (median) **",Health Status,Overall Health,How is your general health?,Poor,Overall,Overall,53,4.7,%,Crude Prevalence,BRFSS,CLASS08,Topic41,99,BO1,CAT1,GENHLTH,RESP060,,,
2011,US,"All States, DC and Territories (median) **",Hypertension Awareness,High Blood Pressure,Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,53,30.8,%,Crude Prevalence,BRFSS,CLASS10,Topic31,99,BO1,CAT1,_RFHYPE5,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Hypertension Awareness,High Blood Pressure,Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions),No,Overall,Overall,53,69.2,%,Crude Prevalence,BRFSS,CLASS10,Topic31,99,BO1,CAT1,_RFHYPE5,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,53,60.7,%,Crude Prevalence,BRFSS,CLASS11,Topic26,99,BO1,CAT1,_FLSHOT5,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,Overall,Overall,53,39.3,%,Crude Prevalence,BRFSS,CLASS11,Topic26,99,BO1,CAT1,_FLSHOT5,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,53,70,%,Crude Prevalence,BRFSS,CLASS11,Topic46,99,BO1,CAT1,_PNEUMO2,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,Overall,Overall,53,30,%,Crude Prevalence,BRFSS,CLASS11,Topic46,99,BO1,CAT1,_PNEUMO2,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Injury,Seatbelt Use,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Always Wears a Seatbelt,Overall,Overall,53,86.4,%,Crude Prevalence,BRFSS,CLASS12,Topic50,99,BO1,CAT1,_RFSEAT3,RESP184,,,
2011,US,"All States, DC and Territories (median) **",Injury,Seatbelt Use,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Does Not Always Wear a Seatbelt,Overall,Overall,53,13.6,%,Crude Prevalence,BRFSS,CLASS12,Topic50,99,BO1,CAT1,_RFSEAT3,RESP185,,,
2011,US,"All States, DC and Territories (median) **",Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,53,27.7,%,Crude Prevalence,BRFSS,CLASS14,Topic09,99,BO1,CAT1,_BMI5CAT,RESP039,,,
